,ds,y
388,1996-07-16,260106562.5
389,1996-07-17,85205531.25
390,1996-07-18,92306718.75
391,1996-07-19,77786000.0
392,1996-07-22,33007300.0
393,1996-07-23,92764962.5
394,1996-07-24,154732312.5
395,1996-07-25,126103575.0
396,1996-07-26,40926553.125
397,1996-07-29,81787979.6875
398,1996-07-30,118864225.0
399,1996-07-31,49166315.625
400,1996-08-01,76141593.75
401,1996-08-02,73118906.25
402,1996-08-05,46995265.625
403,1996-08-06,42480000.0
404,1996-08-07,61076721.875
405,1996-08-08,61461331.25
406,1996-08-09,42962725.0
407,1996-08-12,50974528.125
408,1996-08-13,53281593.75
409,1996-08-14,35447656.25
410,1996-08-15,41929518.75
411,1996-08-16,31757465.625
412,1996-08-19,29184250.0
413,1996-08-20,43150920.3125
414,1996-08-21,17740575.0
415,1996-08-22,39309525.0
416,1996-08-23,50619232.8125
417,1996-08-26,52207071.875
418,1996-08-27,26004618.75
419,1996-08-28,15174518.75
420,1996-08-29,44903828.125
421,1996-08-30,98050982.8125
422,1996-09-03,117166500.0
423,1996-09-04,61218787.5
424,1996-09-05,40088634.375
425,1996-09-06,53073093.75
426,1996-09-09,47984125.0
427,1996-09-10,44673956.25
428,1996-09-11,47849093.75
429,1996-09-12,48170040.625
430,1996-09-13,137728350.0
431,1996-09-16,83965012.5
432,1996-09-17,41516434.375
433,1996-09-18,15443226.5625
434,1996-09-19,28187500.0
435,1996-09-20,65098768.75
436,1996-09-23,32034150.0
437,1996-09-24,87120184.375
438,1996-09-25,92912503.125
439,1996-09-26,53060850.0
440,1996-09-27,27997025.0
441,1996-09-30,39678975.0
442,1996-10-01,38736600.0
443,1996-10-02,42306468.75
444,1996-10-03,23750818.75
445,1996-10-04,53046221.875
446,1996-10-07,16556182.8125
447,1996-10-08,27088309.375
448,1996-10-09,36801175.0
449,1996-10-10,108499671.875
450,1996-10-11,23294531.25
451,1996-10-14,14193900.0
452,1996-10-15,54625781.25
453,1996-10-16,41694253.125
454,1996-10-17,56143671.875
455,1996-10-18,49554006.25
456,1996-10-21,62533100.0
457,1996-10-22,59953562.5
458,1996-10-23,52145414.0625
459,1996-10-24,26645825.0
460,1996-10-25,39958593.75
461,1996-10-28,68125593.75
462,1996-10-29,57444459.375
463,1996-10-30,34763146.875
464,1996-10-31,51453815.625
465,1996-11-01,57978646.875
466,1996-11-04,114296925.0
467,1996-11-05,54602125.0
468,1996-11-06,121284843.75
469,1996-11-07,105602498.4375
470,1996-11-08,99538035.9375
471,1996-11-11,48106165.625
472,1996-11-12,52642687.5
473,1996-11-13,35397060.9375
474,1996-11-14,41316275.0
475,1996-11-15,166636940.625
476,1996-11-18,112417965.625
477,1996-11-19,76763264.0625
478,1996-11-20,54533281.25
479,1996-11-21,48709718.75
480,1996-11-22,72548376.5625
481,1996-11-25,156726150.0
482,1996-11-26,217139075.0
483,1996-11-27,66040375.0
484,1996-11-29,81595171.875
485,1996-12-02,102708909.375
486,1996-12-03,132890550.0
487,1996-12-04,177271635.9375
488,1996-12-05,126903075.0
489,1996-12-06,252796262.5
490,1996-12-09,140602493.75
491,1996-12-10,99932418.75
492,1996-12-11,137408689.0625
493,1996-12-12,185752125.0
494,1996-12-13,123040368.75
495,1996-12-16,132525862.5
496,1996-12-17,147598762.5
497,1996-12-18,122561887.5
498,1996-12-19,170303873.4375
499,1996-12-20,115498875.0
500,1996-12-23,94343103.125
501,1996-12-24,47603578.125
502,1996-12-26,104903984.375
503,1996-12-27,31139100.0
504,1996-12-30,52209334.375
505,1996-12-31,101764071.875
506,1997-01-02,150424096.875
507,1997-01-03,159439050.0
508,1997-01-06,102284568.75
509,1997-01-07,70747781.25
510,1997-01-08,134601812.5
511,1997-01-09,106619906.25
512,1997-01-10,180378187.5
513,1997-01-13,103730921.875
514,1997-01-14,162496425.0
515,1997-01-15,121613821.875
516,1997-01-16,100869462.5
517,1997-01-17,124410250.0
518,1997-01-20,146762546.875
519,1997-01-21,218075906.25
520,1997-01-22,94738650.0
521,1997-01-23,202235525.0
522,1997-01-24,167008000.0
523,1997-01-27,161366140.625
524,1997-01-28,335858000.0
525,1997-01-29,87009250.0
526,1997-01-30,166914550.0
527,1997-01-31,251535090.625
528,1997-02-03,59373671.875
529,1997-02-04,51755662.5
530,1997-02-05,175110665.625
531,1997-02-06,194069784.375
532,1997-02-07,183866718.75
533,1997-02-10,131042812.5
534,1997-02-11,132103812.5
535,1997-02-12,215369700.0
536,1997-02-13,89903100.0
537,1997-02-14,90353568.75
538,1997-02-18,68210062.5
539,1997-02-19,52708757.8125
540,1997-02-20,95922403.125
541,1997-02-21,148243650.0
542,1997-02-24,64029632.8125
543,1997-02-25,134611954.6875
544,1997-02-26,128772693.75
545,1997-02-27,143943142.1875
546,1997-02-28,234397487.5
547,1997-03-03,96453750.0
548,1997-03-04,117186975.0
549,1997-03-05,101129037.5
550,1997-03-06,122471062.5
551,1997-03-07,150312784.375
552,1997-03-10,87805893.75
553,1997-03-11,50748750.0
554,1997-03-12,85008787.5
555,1997-03-13,199320990.625
556,1997-03-14,130902656.25
557,1997-03-17,240797484.375
558,1997-03-18,106910898.4375
559,1997-03-19,118959687.5
560,1997-03-20,141717675.0
561,1997-03-21,220456437.5
562,1997-03-24,170642250.0
563,1997-03-25,167406750.0
564,1997-03-26,105613884.375
565,1997-03-27,223184500.0
566,1997-03-31,321904012.5
567,1997-04-01,243576867.1875
568,1997-04-02,199116150.0
569,1997-04-03,171100856.25
570,1997-04-04,281130028.125
571,1997-04-07,197676290.625
572,1997-04-08,139778306.25
573,1997-04-09,186596525.0
574,1997-04-10,151297265.625
575,1997-04-11,309759900.0
576,1997-04-14,296582367.1875
577,1997-04-15,208755250.0
578,1997-04-16,173907450.0
579,1997-04-17,105595875.0
580,1997-04-18,130317031.25
581,1997-04-21,213689987.5
582,1997-04-22,249916015.625
583,1997-04-23,159336656.25
584,1997-04-24,208257101.5625
585,1997-04-25,122924493.75
586,1997-04-28,128789203.125
587,1997-04-29,254892731.25
588,1997-04-30,270092143.75
589,1997-05-01,171960000.0
590,1997-05-02,117945931.25
591,1997-05-05,303168175.0
592,1997-05-06,143389143.75
593,1997-05-07,189666800.0
594,1997-05-08,239926131.25
595,1997-05-09,211371275.0
596,1997-05-12,198063600.0
597,1997-05-13,99977584.375
